Equipment Split,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Source Airport ID,Source Name,Source City,Source Country,Source Latitude,Source Longitude,Source Altitude,Source Tz database time zone,Airline ID-1,Name,Alias,Callsign,Country,Destination Airport ID,Destination Name,Destination City,Destination Country,IATA,Destination Latitude,Destination Longitude,Destination Altitude,Destination Tz database time zone,Aircraft,IATA code,ICAO code
AT4,DL,2009,KSC,1746,BTS,1745,1746,Košice Airport,Kosice,Slovakia,48.663101196,21.241100311,755,Europe/Bratislava,2009,Delta Air Lines,\N,DELTA,United States,1745,M. R. Štefánik Airport,Bratislava,Slovakia,BTS,48.170200348,17.212699890,436,Europe/Bratislava,Aerospatiale/Alenia ATR 42-300,AT4,AT43
AT4,DL,2009,BTS,1745,PRG,1587,1745,M. R. Štefánik Airport,Bratislava,Slovakia,48.170200348,17.212699890,436,Europe/Bratislava,2009,Delta Air Lines,\N,DELTA,United States,1587,Václav Havel Airport Prague,Prague,Czech Republic,PRG,50.1008,14.26,1247,Europe/Prague,Aerospatiale/Alenia ATR 42-300,AT4,AT43
319,DL,2009,ATL,3682,CRW,4285,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,4285,Yeager Airport,Charleston,United States,CRW,38.373100281,-81.593200684,981,America/New_York,Airbus A319,319,A319
319,DL,2009,MSP,3858,MSO,4216,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,4216,Missoula International Airport,Missoula,United States,MSO,46.91630173,-114.0910034,3206,America/Denver,Airbus A319,319,A319
319,DL,2009,ATL,3682,TRI,4116,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,4116,Tri-Cities Regional TN/VA Airport,BRISTOL,United States,TRI,36.475201,-82.407401,1519,America/New_York,Airbus A319,319,A319
319,DL,2009,ATL,3682,BDA,4069,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,4069,L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.363998413,-64.678703308,12,Atlantic/Bermuda,Airbus A319,319,A319
319,DL,2009,LGA,3697,SRQ,4067,3697,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,4067,Sarasota Bradenton International Airport,Sarasota,United States,SRQ,27.395399094,-82.554397583,30,America/New_York,Airbus A319,319,A319
319,DL,2009,ATL,3682,GSP,4034,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,4034,Greenville Spartanburg International Airport,Greenville,United States,GSP,34.895698547,-82.218902588,964,America/New_York,Airbus A319,319,A319
319,DL,2009,MSP,3858,BIL,4021,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,4021,Billings Logan International Airport,Billings,United States,BIL,45.807701111,-108.542999268,3652,America/Denver,Airbus A319,319,A319
319,DL,2009,MSP,3858,BZN,4020,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,4020,Gallatin Field,Bozeman,United States,BZN,45.77750015,-111.1529999,4473,America/Denver,Airbus A319,319,A319
